Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Onsite Renewable (kWh),ENERGY STAR Score
Adams Court - B,1801012001,Multifamily Housing,435 River St,15936,"Multifamily Housing, Parking",962030.5,0.219936293,0.761164017,,,,,,,
Adams House Condominiums,1602997000,Multifamily Housing,59 Msgr Lydon Way,40060,"Multifamily Housing, Parking",1635842.9,0.920867469,,,,,,,,62
Adams Street Branch,1603518001,Library,690 Adams St,7189,Library,540593.8,0.204078321,0.778384806,,,,,,,
Adams Village (Whole Building Data): 725 Adams Street (Whole Building Tracking),1603457000,Multifamily Housing,725 Adams Street,34705,Multifamily Housing,1846631.8,0.193438614,0.789938633,,,,,,,95
Adams Village (Whole Building Data): 735 Adams Street (Whole Building Tracking),16034577000,Multifamily Housing,735 Adams Street,41395,Multifamily Housing,2340822.2,0.313495016,0.659565515,,,,,,,77
Administration Building/Wilkens Science Center,401847000,College/University,400 The Fenway,166153,"College/University, Data Center, Parking",27089556.1,0.380402942,0.586908019,,,,,,,
AGASSIZ,1103019000,K-12 School,20 Child St.,115400,K-12 School,8395911.6,0.227093173,0.753392091,,,,,,,53
Albany Street Apartments,801218000,Multifamily Housing,601 Albany Street,56610,Multifamily Housing,2113911.3,0.285544575,0.689917831,,,,,,,
Albert A. Pope Condominium Trust,401147000,Multifamily Housing,221 Columbus Ave,25000,Multifamily Housing,5406855.6,0.207828773,0.774311912,,,,,,,1
Aldrich Hall,2200530000,College/University,35 Harvard Way,105818,College/University,6457672.9,0.434607368,,0.528045683,,,,,,
ALIGHIERI,105723000,K-12 School,37 Gove St.,169748,K-12 School,1056456.1,0.205853122,0.776457252,,,,,,,100
Allerton: 65 Allerton Street,0800962000;  0800961001; 0800962010; 080096300; 0800957000,Office,65 Allerton Street,110087,Office,9364074.6,0.821967528,0.107398621,,,,,,,25
Alumnae Hall,402012000,College/University,321R Brookline Avenue,7600,College/University,1321549.5,0.920867518,,,,,,,,
Amiff Housing: Amiff-ALH,1404246000,Multifamily Housing,64 American Legion Highway,32879,Multifamily Housing,7350292.9,0.036024694,0.960879613,,,,,,,4
Amory Terrace,1101202010,Multifamily Housing,20 Amory Avenue,64085,"Multifamily Housing, Parking",3455687.2,0.798432919,0.13295561,,,,,,,51
AMS Realty Trust,2101597000,Multifamily Housing,1082 Commonwealth Avenue,25737,"Multifamily Housing, Restaurant",2357760.8,0.149650599,0.837489537,,,,,,,77
Amy Lowell House: 65 Martha Road,300465000,Multifamily Housing,65 Martha Rd,115000,Multifamily Housing,9169408.9,0.38605707,0.580768014,,,,,,,40
Anderson Park: 250 Cambridge St,502186000,Multifamily Housing,250 Cambridge St,86006,Multifamily Housing,7266852.8,0.344466465,0.625932605,,,,,,,22
Animal Control Shelter,1902894000,Other,26 Mahler Rd,10000,Other,2890881.6,0.147938722,0.839348523,,,,,,,
Anna Bissonnette House: 1640 Washington Street,80448000,Multifamily Housing,1640 Washington Street,22953,Multifamily Housing,2723351.7,0.253581341,0.724627708,,,,,,,11
Ansin Building,304890100,College/University,180 Tremont St,98744,College/University,6352993.9,0.907901085,,0.014080558,,,,,,
Anti Corruption,801948000,Police Station,1960 Washington St,4200,Police Station,239977.6,0.443763822,0.518102523,,,,,,,
Arborway Gardens Condominium,1102640000,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",150172,Multifamily Housing,19233135.6,0.069498416,0.924529389,,,,,,,9
Archives Building,2009228000,Non-Refrigerated Warehouse,201 Rivermoor St,119454,Non-Refrigerated Warehouse,2047361.8,,1,,,,,,,93
ARE ND CR Longwood LLC,01967-014,Laboratory,360 Longwood Avenue,210709,"Food Sales, Laboratory, Parking",219934620.1,0.586110008,0.363524,,,,,,,
Arlington Boylston,501167000,Office,330-350 Boylston Street,63054,"Office, Other, Retail Store",4422374,0.093560733,0.227141531,0.671257858,,,,,,75
Armenian Nursing and Rehabilitation Center,1902312000,Senior Care Community,431 Pond Street,53000,Senior Care Community,3693180.6,0.16745369,0.818156605,,,,,,,100
Arnold Hall,402013000,College/University,78 Pilgrim Road,22000,College/University,709381.3,0.920867231,,,,,,,,
Arthur J. Hurley Co.,01247-000,Distribution Center,2500 Washington Street,50000,Distribution Center,1501649.7,,0.907002412,,,,,,40929,54
Artists,602696002,Multifamily Housing,300 Summer Street,85000,Multifamily Housing,3788163.6,0.426007853,0.53738413,,,,,,,70
ARTS ACADEMY,504189000,K-12 School,174 Ipswich St.,129800,K-12 School,6306934.4,0.278244605,0.697845089,,,,,,,81
Ashmont Hill LLC,1601072000,Senior Care Community,321 Centre Street,46952,Senior Care Community,6582403.3,0.316605172,0.656188128,,,,,,,47
Asian Healthcare Foundation of Massachusetts,304325000,Office,145 South Street,42000,Office,2068477.3,0.704994309,0.234423602,,,,,,,93
Atelier 505,500815020,Multifamily Housing,505 Tremont St,224000,Multifamily Housing,25897491.5,0.486676748,0.471501825,,,,,,,1
ATJ Neponset III,1809785000,Multifamily Housing,30 - 46 Sierra Road,43400,Multifamily Housing,1943436.1,0.920867461,,,,,,,,57
Atlantic Wharf,0302952018 0302952020 0302952022 0302952024,Office,280 Congress St.,965371,"Data Center, Multifamily Housing, Office, Parking, Restaurant",80733355.7,0.629655921,0.316236072,,,,,,,74
Atrium On Commonwealth,2100477000,Multifamily Housing,1079 Commonwealth Ave.,278852,"Multifamily Housing, Parking, Retail Store",9157579.3,0.920867399,,,,,,,,80
Audubon Park Condo Trust,2100167000,Multifamily Housing,16 Miner St,84310,Multifamily Housing,2689307.6,0.328081215,0.643725954,,,,,,,99
Avenir - 29807,301570001,Multifamily Housing,101 Canal St.,335514,"Multifamily Housing, Parking, Retail Store",16708376,0.478094657,0.479196787,,,,,,,81
"B Minor, LLC",500027000,Retail Store,162 Boylston Street,22031,"Other, Retail Store",209043.8,0.844579017,0.082844361,,,,,,,
B001-Dental,305380000,College/University,1 Kneeland Street,330486,College/University,88218790.8,0.220804608,,0.760221064,,,,,,
B002-PosnerHall,305081000,College/University,200 Harrison Ave,61259,College/University,5242128,0.30235821,0.671659315,,,,,,,
B003-BRPH (M&V),0305251000 0305254000 0305253000,College/University,136 Harrison Ave,231534,College/University,85671400.7,0.398540366,0.000283831,0.56692817,,,,,,
B008_Jaharis,305104000,College/University,150 Harrison Ave,179165,College/University,60975463.4,0.373718574,0.000137977,0.594028819,,,,,,
B011-Sackler,305371000,College/University,145 Harrison Ave,136192,College/University,20305906.2,0.388542542,,0.578068966,,,,,,
B-02 Station,1201261000,Police Station,2400 Washington St,34500,Police Station,4088541.1,0.440007989,0.522180931,,,,,,,
B-03 Station,1404623000,Police Station,1163 Blue Hill Ave,15000,Police Station,2749535.4,0.353846124,0.615746973,,,,,,,
